entropy_10m,standard_deviation_10m,turbulence_intensity_10m,variability_index_10m,entropy_era5,standard_deviation_era5,turbulence_intensity_era5,variability_index_era5
0.34071959,0.721495361,0.2041968,0.650943396,0.393587288,0.592553147,0.152623345,0.481848139
0.341269137,0.646088659,0.187725518,0.668280872,0.432334805,0.480079793,0.125952286,0.44254046
0.750686108,0.569844033,0.171812271,0.693467337,0.169323836,0.371645848,0.098971318,0.271767014
0.517255154,0.403026743,0.127607412,0.37994723,0.207413182,0.371795001,0.099169474,0.272201891
0.383038727,0.416999867,0.135978217,0.391304348,0.207397075,0.371620932,0.099104927,0.27215214
0.51339823,0.421966297,0.13987833,0.397790055,0.259756047,0.364446478,0.096761691,0.270948262
0.61406058,0.403112887,0.136648436,0.406779661,0.412226978,0.349830316,0.092131739,0.268762396
0.434439074,0.397562015,0.136306976,0.411428571,0.651705626,0.324292598,0.084134483,0.264760792
0.605327097,0.379326889,0.127862996,0.404494382,0.710046415,0.280477649,0.071308353,0.224601354
0.449828909,0.363910093,0.118989676,0.359673025,0.665298893,0.251066588,0.062537613,0.176055467
0.142434326,0.403801381,0.129561941,0.385026738,0.444423281,0.249773886,0.061701821,0.174601548
0.168388174,0.478423336,0.151081054,0.505263158,0.525589009,0.248709719,0.06161148,0.175091887
0.253299613,0.579271573,0.179156157,0.587628866,0.581581632,0.241323639,0.060113666,0.176063969
0.245362316,0.613901458,0.187450827,0.580152672,0.597978672,0.229106608,0.057326803,0.17685496
0.170812955,0.608903842,0.184051539,0.574307305,0.477467012,0.218819186,0.054909258,0.177360668
0.218331813,0.590668172,0.175445992,0.564356436,0.740005078,0.388248256,0.099284807,0.397640848
0.174687872,0.534048999,0.155926715,0.496350365,0.618778193,0.454838119,0.117885876,0.403016314
0.178912777,0.523343949,0.152430276,0.495145631,0.560806647,0.480672723,0.125709597,0.406664875
0.180469716,0.54898897,0.160679698,0.556097561,0.539592313,0.523286918,0.139029653,0.413128608
0.213531851,0.595585613,0.176035157,0.591133005,0.528510153,0.553868366,0.150463553,0.422418042
0.300029448,0.677567135,0.204806187,0.664987406,0.458625575,0.564820201,0.157934691,0.434795481
0.422355989,0.776879442,0.244686438,0.787401575,0.59593275,0.528026829,0.152353441,0.407201833
0.478743831,0.821921867,0.270963253,0.824175824,0.594663587,0.486415727,0.144458293,0.390131757
0.53466656,0.783289006,0.27244835,0.869565217,0.689121887,0.45289597,0.13769001,0.399374569
0.440429694,0.645497224,0.239073046,0.777777778,0.732980866,0.403244936,0.124975996,0.407130948
0.437412208,0.529871578,0.208474063,0.629508197,0.877099832,0.318107723,0.100594285,0.41540864
0.410138448,0.463905522,0.187436575,0.646464646,0.789192746,0.148861551,0.04807487,0.169115707
0.324207911,0.38586123,0.158573108,0.534246575,0.653277606,0.12165199,0.038934965,0.125830256
0.310577957,0.34268142,0.142289863,0.456747405,0.443243961,0.133425162,0.042340041,0.131110166
0.352156645,0.323608131,0.135779635,0.461538462,0.64345737,0.171364717,0.053993649,0.19311981
0.390255719,0.322317993,0.136190701,0.464788732,0.674215979,0.216615628,0.067199426,0.227061108
